week,state,state_name,disease,cases,incidence_per_capita,,latitude,longitude
192805,LA,LOUISIANA,MEASLES,212,10.27,,-21.115141,55.536384
192805,MA,MASSACHUSETTS,MEASLES,1486,35.24,,45.943161,24.96676
192805,MD,MARYLAND,MEASLES,504,31.3,,44.016521,21.005859
192805,ME,MAINE,MEASLES,63,7.9,,61.52401,105.318756
192805,MI,MICHIGAN,MEASLES,459,9.84,,-1.940278,29.873888
192805,MN,MINNESOTA,MEASLES,8,0.31,,23.885942,45.079162
192805,MO,MISSOURI,MEASLES,80,2.22,,-9.64571,160.156194
192805,NC,NORTH CAROLINA,MEASLES,3668,119.01,,-4.679574,55.491977
192805,ND,NORTH DAKOTA,MEASLES,6,0.9,,12.862807,30.217636
192805,NE,NEBRASKA,MEASLES,3,0.22,,60.128161,18.643501
192805,NH,NEW HAMPSHIRE,MEASLES,16,3.42,,1.352083,103.819836
192805,NJ,NEW JERSEY,MEASLES,367,9.25,,-24.143474,-10.030696
192805,NM,NEW MEXICO,MEASLES,157,37.74,,46.151241,14.995463
192805,NY,NEW YORK,MEASLES,1234,10.64,,77.553604,23.670272
192805,OH,OHIO,MEASLES,405,6.13,,48.669026,19.699024
192805,OK,OKLAHOMA,MEASLES,108,4.61,,8.460555,-11.779889
192805,OR,OREGON,MEASLES,43,4.59,,43.94236,12.457777
192805,PA,PENNSYLVANIA,MEASLES,1487,15.17,,14.497401,-14.452362
192805,RI,RHODE ISLAND,MEASLES,7,1.03,,5.152149,46.199616
192805,SC,SOUTH CAROLINA,MEASLES,1304,74.99,,3.919305,-56.027783
192805,SD,SOUTH DAKOTA,MEASLES,27,3.94,,0.18636,6.613081
192805,TN,TENNESSEE,MEASLES,526,20.05,,13.794185,-88.89653
192805,TX,TEXAS,MEASLES,89,1.57,,34.802075,38.996815
192805,UT,UTAH,MEASLES,2,0.4,,-26.522503,31.465866
192805,VT,VERMONT,MEASLES,24,6.7,,21.694025,-71.797928
192805,WA,WASHINGTON,MEASLES,292,18.83,,15.454166,18.732207
192805,WI,WISCONSIN,MEASLES,85,2.91,,-49.280366,69.348557
192805,WV,WEST VIRGINIA,MEASLES,125,7.37,,8.619543,0.824782
192805,WY,WYOMING,MEASLES,2,0.91,,15.870032,100.992541
192806,AL,ALABAMA,MEASLES,192,7.27,,38.861034,71.276093
192806,AR,ARKANSAS,MEASLES,491,26.58,,-8.967363,-171.855881
192806,AZ,ARIZONA,MEASLES,27,6.4,,-8.874217,125.727539
192806,CA,CALIFORNIA,MEASLES,149,2.79,,38.969719,59.556278
192806,CO,COLORADO,MEASLES,82,8.09,,33.886917,9.537499
192806,CT,CONNECTICUT,MEASLES,280,17.76,,-21.178986,-175.198242
192806,DC,DISTRICT OF COLUMBIA,MEASLES,36,7.52,,38.963745,35.243322
192806,DE,DELAWARE,MEASLES,8,3.43,,10.691803,-61.222503
192806,FL,FLORIDA,MEASLES,24,1.67,,-7.109535,177.64933
192806,GA,GEORGIA,MEASLES,196,6.75,,23.69781,120.960515
192806,IA,IOWA,MEASLES,65,2.65,,-6.369028,34.888822
192806,IL,ILLINOIS,MEASLES,101,1.33,,48.379433,31.16558
192806,IN,INDIANA,MEASLES,162,5.04,,1.373333,32.290275
192806,KS,KANSAS,MEASLES,22,1.19,,23.4456,5.2345
192806,KY,KENTUCKY,MEASLES,296,11.53,,37.09024,-95.712891
192806,LA,LOUISIANA,MEASLES,197,9.54,,-32.522779,-55.765835
192806,MA,MASSACHUSETTS,MEASLES,1598,37.89,,41.377491,64.585262
192806,MD,MARYLAND,MEASLES,563,34.97,,41.902916,12.453389
192806,ME,MAINE,MEASLES,44,5.52,,12.984305,-61.287228
192806,MI,MICHIGAN,MEASLES,191,4.09,,6.42375,-66.58973
192806,MN,MINNESOTA,MEASLES,2,0.08,,18.420695,-64.639968
192806,MO,MISSOURI,MEASLES,97,2.69,,18.335765,-64.896335
192806,MT,MONTANA,MEASLES,3,0.55,,14.058324,108.277199
192806,NC,NORTH CAROLINA,MEASLES,4734,153.6,,-15.376706,166.959158
192806,ND,NORTH DAKOTA,MEASLES,17,2.56,,-13.768752,-177.156097
192806,NE,NEBRASKA,MEASLES,3,0.22,,-13.759029,-172.104629
192806,NH,NEW HAMPSHIRE,MEASLES,73,15.6,,42.602636,20.902977
192806,NJ,NEW JERSEY,MEASLES,423,10.66,,15.552727,48.516388
192806,NM,NEW MEXICO,MEASLES,151,36.3,,-12.8275,45.166244
192806,NY,NEW YORK,MEASLES,1461,12.6,,-30.559482,22.937506
192806,OH,OHIO,MEASLES,352,5.33,,-13.133897,27.849332
192806,OK,OKLAHOMA,MEASLES,134,5.72,,-19.015438,29.154857
